stream,subject_liked,skills,soft_skill,preferred_field,career_label
Medical,Accounts,Research,Adaptability,Marketing,Mechanical Engineer
Management,CS,Analytical Thinking,Leadership,Marketing,Pharmacist
Science,Economics,Programming,Adaptability,Marketing,UX Designer
Medical,Math,Creativity,Empathy,Design,AI Researcher
Science,Physics,Creativity,Time Management,Healthcare,Accountant
Commerce,Chemistry,Communication,Leadership,Research,Investment Banker
Arts,Chemistry,Creativity,Collaboration,Finance,Robotics Engineer
Engineering,Accounts,Creativity,Leadership,Design,Pharmacist
Science,Physics,Creativity,Collaboration,Engineering,UX Designer
Engineering,History,Communication,Collaboration,Finance,Architect
Commerce,Accounts,Creativity,Collaboration,IT,UX Designer
Arts,Math,Communication,Empathy,Design,Teacher
Commerce,Economics,Analytical Thinking,Critical Thinking,Finance,Civil Servant
Management,History,Teamwork,Empathy,Research,Mechanical Engineer
Medical,Math,Teamwork,Collaboration,Education,AI Researcher
Engineering,Geography,Creativity,Collaboration,IT,Investment Banker
Science,CS,Creativity,Adaptability,Education,Accountant
Commerce,Geography,Teamwork,Empathy,Finance,Business Analyst
Commerce,Physics,Communication,Leadership,IT,Marketing Manager
Engineering,History,Analytical Thinking,Time Management,Design,Accountant
Computer Science,Biology,Research,Adaptability,Engineering,Entrepreneur
Commerce,Math,Analytical Thinking,Empathy,Research,Robotics Engineer
Arts,Math,Problem Solving,Critical Thinking,Engineering,Marketing Manager
Engineering,Biology,Creativity,Collaboration,Marketing,Lawyer
Science,Chemistry,Programming,Critical Thinking,IT,Doctor
Management,Economics,Problem Solving,Empathy,Design,Business Analyst
Science,CS,Teamwork,Adaptability,Finance,Architect
Engineering,Math,Research,Adaptability,Healthcare,Mechanical Engineer
Medical,Biology,Programming,Empathy,Education,Psychologist
Arts,Accounts,Analytical Thinking,Critical Thinking,Design,AI Researcher
Engineering,Economics,Teamwork,Adaptability,Design,Business Analyst
Medical,Economics,Teamwork,Critical Thinking,Healthcare,Marketing Manager
Arts,CS,Creativity,Adaptability,Design,Pharmacist
Management,Economics,Analytical Thinking,Critical Thinking,Marketing,Doctor
Medical,CS,Teamwork,Critical Thinking,Design,Entrepreneur
Medical,Physics,Programming,Empathy,Research,Accountant
Management,Geography,Communication,Empathy,Education,Software Engineer
Arts,Math,Teamwork,Collaboration,Healthcare,Civil Servant
Engineering,Geography,Programming,Time Management,Engineering,Architect
Science,Economics,Programming,Adaptability,Education,UX Designer
Computer Science,Math,Programming,Critical Thinking,Healthcare,Graphic Designer
Computer Science,Geography,Research,Critical Thinking,Marketing,Entrepreneur
Commerce,Biology,Creativity,Adaptability,Finance,Architect
Arts,Biology,Problem Solving,Adaptability,Marketing,Teacher
Management,Chemistry,Communication,Empathy,Marketing,Lawyer
Science,History,Analytical Thinking,Critical Thinking,Healthcare,Graphic Designer
Computer Science,Chemistry,Research,Adaptability,Engineering,Accountant
Engineering,History,Analytical Thinking,Critical Thinking,Engineering,Software Engineer
Commerce,Biology,Programming,Critical Thinking,Design,Marketing Manager
Engineering,History,Creativity,Empathy,Education,Civil Servant
Arts,Accounts,Communication,Empathy,Finance,Robotics Engineer
Computer Science,Chemistry,Problem Solving,Time Management,Design,AI Researcher
Management,CS,Teamwork,Collaboration,Engineering,Pharmacist
Engineering,Physics,Communication,Collaboration,Healthcare,Doctor
Computer Science,Physics,Creativity,Time Management,Education,Pharmacist
Science,Biology,Problem Solving,Collaboration,Healthcare,Software Engineer
Science,History,Research,Empathy,Finance,UX Designer
Computer Science,CS,Teamwork,Critical Thinking,Healthcare,AI Researcher
Commerce,CS,Teamwork,Time Management,Healthcare,AI Researcher
Science,Accounts,Communication,Collaboration,Design,AI Researcher
Science,Math,Problem Solving,Adaptability,Healthcare,Mechanical Engineer
Medical,Accounts,Programming,Empathy,Engineering,Psychologist
Engineering,History,Communication,Empathy,Design,Lawyer
Science,Economics,Problem Solving,Critical Thinking,IT,Business Analyst
Management,Geography,Creativity,Empathy,Design,AI Researcher
Arts,Math,Analytical Thinking,Adaptability,Design,Business Analyst
Engineering,Geography,Creativity,Collaboration,Research,Civil Servant
Engineering,Accounts,Creativity,Empathy,Engineering,Business Analyst
Arts,Geography,Creativity,Collaboration,Marketing,Software Engineer
Computer Science,Physics,Research,Leadership,Finance,Investment Banker
Science,Economics,Analytical Thinking,Adaptability,Design,Investment Banker
Computer Science,Economics,Programming,Collaboration,Design,Accountant
Medical,Biology,Problem Solving,Critical Thinking,Healthcare,Architect
Arts,CS,Analytical Thinking,Time Management,Research,Pharmacist
Medical,Economics,Analytical Thinking,Critical Thinking,Engineering,Software Engineer
Arts,CS,Research,Collaboration,Finance,Marketing Manager
Commerce,History,Research,Critical Thinking,Engineering,Lawyer
